Outputs,Tcasamiento,Tmutacion,Tmuerte,Pcasamiento,MediaOutput
9.80889,0.5,0.5,0.4,0.4,9.69109
9.62341,0.5,0.5,0.4,0.4,
9.64097,0.5,0.5,0.4,0.4,
9.85864,0.7,0.5,0.4,0.4,9.94623666666667
9.94487,0.7,0.5,0.4,0.4,
10.0352,0.7,0.5,0.4,0.4,
9.82628,0.7,0.3,0.4,0.4,9.94062
10.0706,0.7,0.3,0.4,0.4,
9.92498,0.7,0.3,0.4,0.4,
9.90834,0.7,0.4,0.4,0.4,9.89411
9.74539,0.7,0.4,0.4,0.4,
10.0286,0.7,0.4,0.4,0.4,
9.74522,0.7,0.2,0.4,0.4,9.95015666666667
9.98505,0.7,0.2,0.4,0.4,
10.1202,0.7,0.2,0.4,0.4,
9.78119,0.7,0.1,0.4,0.4,9.96941333333333
10.1561,0.7,0.1,0.4,0.4,
9.97095,0.7,0.1,0.4,0.4,
10.0208,0.7,0,0.4,0.4,9.96521333333333
9.9445,0.7,0,0.4,0.4,
9.93034,0.7,0,0.4,0.4,
10.2251,0.7,0,0,0.4,9.93764666666667
9.79944,0.7,0,0,0.4,
9.7884,0.7,0,0,0.4,
9.94126,0.7,0,0.2,0.4,9.83591333333333
9.67552,0.7,0,0.2,0.4,
9.89096,0.7,0,0.2,0.4,
9.97826,0.7,0,0.1,0.4,9.90911333333333
9.77411,0.7,0,0.1,0.4,
9.97497,0.7,0,0.1,0.4,
9.65306,0.7,0,0.1,0,9.84586666666667
10.0854,0.7,0,0.1,0,
9.79914,0.7,0,0.1,0,
9.92893,0.7,0,0.1,0.8,10.0372766666667
10.1131,0.7,0,0.1,0.8,
10.0698,0.7,0,0.1,0.8,
9.95996,0.7,0,0.1,0.5,9.89507666666667
9.82943,0.7,0,0.1,0.5,
9.89584,0.7,0,0.1,0.5,
9.86645,0.7,0,0.1,0.3,9.89080666666667
9.81062,0.7,0,0.1,0.3,
9.99535,0.7,0,0.1,0.3,
